alim_nom_fr,Calories,Proteines,Glucides,Lipides
"Soupe au cresson, déshydratée reconstituée","25,1","0,42","3,95","0,8"
"Soupe au cresson, préemballée à réchauffer",34,1,"5,4","0,8"
"Soupe aux légumes avec fromage, préemballée à réchauffer","50,2","1,34","5,09","2,51"
"Soupe aux légumes verts, préemballée à réchauffer","33,4",1,"3,84","1,32"
"Soupe aux légumes verts, déshydratée reconstituée","34,8","0,72","5,31","1,07"
"Soupe aux pois cassés, préemballée à réchauffer","56,7","2,68","6,25","1,98"
"Soupe froide type Gaspacho ou Gazpacho, préemballée","32,8","0,65","3,38","1,62"
"Soupe aux asperges, préemballée à réchauffer",133,"4,6","4,7","10,4"
Soupe (aliment moyen),"37,4","1,27","4,5","1,37"
"Soupe miso, déshydratée reconstituée","17,1","1,38","2,18","< 0,5"
Tripes à la mode de Caen,116,"20,4","0,3","3,68"
"Tripes à la mode de Caen, préemballées",112,"18,4","0,7","3,62"
Tripes à la tomate ou à la provençale,"94,1","15,7","0,6","3,2"
Blanquette de veau,113,"15,4","3,1",4
Boeuf bourguignon,"84,6","8,93","4,17","3,3"
"Sauté d'agneau au curry, préemballé",-,"10,5",-,"13,9"
"Canard en sauce (poivre vert, chasseur, etc.), préemballé",145,"9,55","10,2","7,3"
"Lapin à la moutarde, préemballé",108,"14,9","0,5",5
Coq au vin,133,13,4,7
Paupiette de veau,193,"14,5","2,6","13,8"
Paupiette de volaille,164,"23,9","8,8","3,4"
Viande en sauce (aliment moyen),104,"11,3","3,65","4,6"
Poulet au curry et au lait de coco,124,"10,6","3,15","6,9"
"Meloukhia, plat à base de boeuf et corete, fait maison",189,"10,6","1,2","14,7"
"Palette à la diable, préemballée",120,"13,5","2,08","6,07"
"Langue de boeuf sauce madère, préemballée",180,"9,5","4,5","13,5"
"Porc au caramel, préemballé",136,10,"11,4","5,4"
"Boulettes au boeuf, à la sauce tomate, préemballées",117,9,"5,5","6,5"
"Paupiette de veau, préemballée,  cuite au four",276,22,"0,48","20,5"
"Carpaccio de boeuf, avec marinade",271,"15,2","0,55",23
Yakitori (brochettes japonaises grillées en sauce),172,26,"9,3","3,3"
"Brochette de boeuf, cuite",139,"21,9","0,33","5,2"
"Brochette de volaille, cuite",137,"23,1","1,39",4
"Hachis parmentier à la viande, préemballé",138,"5,99","9,39","8,22"
Couscous au mouton,149,"8,31","12,2","7,2"
"Couscous à la viande ou au poulet, préemballé, allégé","90,7","5,9","11,5","1,9"
"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",168,"3,2","16,2","9,6"
"Couscous royal (avec plusieurs viandes), préemballé",132,"7,69",14,"4,53"
Couscous au poulet,130,"7,5","15,6","3,85"
"Couscous à la viande, préemballé",128,"7,59","12,5","4,73"
"Parmentier de canard, préemballé",146,"6,82","8,51","9,06"
"Parmentier de canard, préemballé, cuit",168,7,"10,5","10,2"
"Cassoulet, appertisé",129,"8,06","9,41","5,77"
"Choucroute garnie, préemballée",109,"5,06","2,8","8,06"
"Petit salé ou saucisse aux lentilles, préemballé",118,"8,24","8,89","4,87"
"Pot-au-feu, préemballé","77,5","10,9","3,2","2,02"
Boeuf aux carottes,"96,6","13,2","3,3","3,15"
Potée auvergnate (chou et porc),"82,1",6,"3,7","4,3"
"Cassoulet au porc, appertisé",132,"8,3","8,6","6,3"
"Cassoulet au canard ou oie, appertisé",161,"10,5","10,1","7,86"
Tomate farcie,122,"5,49",2,"9,67"
"Chou farci, préemballé","94,9","5,3",2,"6,6"
"Chili con carne, préemballé",118,"7,13",13,"3,35"
Moussaka,147,"5,82","5,16","10,8"
Navarin d'agneau aux légumes,133,"8,05",5,"8,61"
Tajine de mouton,132,"12,8","4,5","6,83"
Osso buco,"96,7","11,2","3,5","4,08"
"Poulet basquaise, préemballé",107,"9,3","2,5","6,4"
"Tajine de poulet, préemballé",127,"7,54","14,4","3,7"
"Chop suey (porc ou poulet), préemballé","78,2",5,"7,8",3
Légumes farcis (sauf tomate),"69,8","6,4","3,6",3
Moules marinières (oignons et vin blanc),92,"10,3","7,43","2,24"
"Moules farcies (matière grasse, persillade…), préemballées, crues",284,"9,56","4,43","24,8"
"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",105,"6,13","8,39","5,1"
"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",117,"6,69","5,28","7,5"
"Saumon à l'oseille, préemballé",133,"8,36","7,43","7,65"
"Poisson blanc à la bordelaise, préemballé",176,"14,8","5,3","10,4"
"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé","75,2","9,31","3,1","2,3"
"Poisson blanc à la florentine (sauce aux épinards), préemballé",100,"11,4","2,9","4,35"
"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",80,"11,5","2,2","2,8"
"Poisson blanc à la sauce moutarde, préemballé","90,8","9,2","5,4","3,6"
"Poisson blanc à la parisienne (sauce aux champignons), préemballé","79,9","9,16",3,"3,25"
"Poisson blanc à l'estragon, préemballé","77,2","8,8","4,2","2,8"
"Poisson blanc sauce oseille, préemballé",114,"11,8","3,9","5,5"
"Saumon farci, préemballé",227,"18,8","0,4","16,2"
Brochette de poisson,127,18,"0,86","5,71"
Brochette de crevettes,"93,5","18,5","1,5","1,5"
"Poisson en sauce, surgelé",132,"13,3","3,18","7,05"
Poisson cuit (aliment moyen),144,"23,5",0,"5,52"
"Poisson blanc, cuit (aliment moyen)",107,22,0,"2,18"
"Poisson blanc, de mer, cuit (aliment moyen)",106,"22,1",0,2
Paëlla,148,"7,86","17,1","4,9"
Couscous au poisson,105,"7,5","14,2","1,6"
"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",117,"6,39","8,57","6,15"
Sushi ou Maki aux produits de la mer,171,"6,69","26,9","3,7"
Terrine ou mousse de légumes,-,"4,05","5,6","9,56"
Flan de légumes,-,"5,38","4,13","18,6"
"Haricots blancs à la sauce tomate, appertisés",-,"4,67","10,1","0,4"
"Piperade basquaise, préemballée",-,"1,1","6,5","3,8"
"Poêlée de légumes assaisonnés sans champignon, surgelée, crue","81,2","2,6","12,1","1,77"
"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",-,"3,13","5,83","3,93"
"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",-,"1,61","4,33","1,77"
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",-,"1,89","3,59","1,21"
"Ratatouille cuisinée, préemballée",-,"1,22","4,97","3,15"
"Épinards à la crème, préemballés",-,"2,5","4,1","2,9"
"Gratin d'aubergine, préemballé",-,"1,95","5,45","8,68"
Gratin dauphinois,-,"3,38","14,5","4,2"
Endive au jambon,-,"7,44","4,71","6,3"
"Gratin de chou-fleur, préemballé",-,3,"3,3","6,5"
Gratin de légumes,-,"3,44","6,91","6,7"
"Riste d'aubergines (aubergines, tomates, oignons), préemballée",-,"1,05","10,6","10,4"
"Palet ou galette de légumes, préfrit, surgelé",-,"3,29","10,7","5,44"
"Palet ou galette de légumes, préfrit, surgelé, cuit",-,"3,31","8,45","5,7"
"Choucroute, sans garniture, égouttée, cuite","75,3","1,38","< 0,1","6,6"
"Tomate à la provençale, fait maison",-,"1,65","6,55","4,32"
Beignet de légumes,-,"3,52",23,"8,52"
"Falafel ou Boulette de pois-chiche et/ou fève, frite",252,"8,25","18,7","14,4"
"Gratin de légumes en sauce blanche type béchamel, cuit",-,"3,56","6,74","6,5"
"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",211,"7,38","17,7","10,8"
"Blé dur précuit cuisiné, en sachet micro-ondable",188,"5,29","29,5","4,84"
"Blé dur précuit, grains entiers, cuisiné, à poêler",344,"12,1","67,2","1,59"
"Ravioli à la viande, sauce tomate, appertisé","95,3","4,22","12,5","2,83"
Lasagnes ou cannelloni à la viande (bolognaise),134,"6,29","13,5","5,72"
"Pâtes à la bolognaise (spaghetti, tagliatelles…)",116,"5,32","13,6","4,07"
Riz cantonais,164,"5,46","23,6","4,94"
"Ravioli chinois à la vapeur à la crevette, cuit",190,"5,5","27,8","5,5"
Gratin de pâtes,179,"7,06","16,4","9,2"
"Lasagnes ou cannellonis aux légumes, préemballées, cuits",103,"2,75",11,"4,85"
"Pâtes à la carbonara (spaghetti, tagliatelles…)",161,"5,91","14,2","8,7"
"Lasagnes ou cannellonis au poisson, préemballées",148,"7,28",13,"7,1"
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites",226,10,"26,8","8,3"
"Couscous de légumes, préemballé",108,"4,32","16,4","2,25"
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",219,"7,94","27,8","7,5"
"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues",265,"11,4","40,3","5,79"
"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",174,"6,94","25,1","4,65"
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",268,"11,3","37,3","7,69"
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",262,"9,98","41,4","5,69"
Nouilles sautées/poêlées aux crevettes,104,"4,88","12,6","3,4"
"Riz blanc, avec poulet, préemballé, cuit",175,"4,44","31,5","3,19"
"Riz blanc, avec légumes et viande, préemballé, cuit",167,"4,85","28,3","3,57"
"Risotto, aux légumes, préemballé",120,"2,88","18,4","3,8"
"Risotto, aux fruits de mer, préemballé",130,"5,75","12,5","6,07"
"Risotto, aux fromages, préemballé",195,"5,93","30,9","5,16"
"Raviolis aux légumes, sauce tomate, appertisés","91,1","2,88","13,5","2,45"
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",156,"5,19","20,9","4,9"
"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",163,"7,17","15,9","7,4"
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",255,"9,4","41,4","5,06"
"Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen)",199,"7,98","25,7","6,53"
"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",150,"2,63","18,6","6,5"
"Lasagnes ou cannellonis aux légumes, préemballés, cuits",122,"4,38","11,8","5,9"
"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",179,7,14,"10,2"
"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",133,"6,1","11,4","6,6"
"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",195,"8,06","9,5","13,3"
"Fromage de chèvre pané à dorer, préemballé",-,"12,7",15,"19,2"
Soufflé au fromage,184,"12,9","3,8","12,6"
"Tartiflette, préemballée",161,6,"13,5","8,9"
Gougère,399,"16,2","22,7","26,6"
"Préparation à base de fromage(s) pour fondue savoyarde, préemballée",231,"15,9","2,6","17,2"
Fromage pané au jambon,263,"17,4","15,3","14,6"
Escalope végétale ou steak à base de soja,-,17,"8,7","14,7"
Tempeh,157,"17,6","7,89","4,7"
"Nuggets de blé (sans soja), préemballé",284,"13,5","22,4","14,9"
"Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",253,"14,1","18,5","12,6"
"Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé",251,"15,5","19,7","10,9"
Pané soja et blé (ne convient pas aux véganes ou végétaliens),260,"14,4","16,8","13,9"
"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",245,"16,9","18,8",10
"Escalope panée, soja, blé et fromage, type cordon bleu, préemballée",247,"15,2","15,1","13,1"
"Raviolis au tofu, à la sauce tomate, préemballés","91,7","3,13","12,5","2,7"
"Galette de céréales au fromage (sans soja), préemballé",241,7,"27,8","10,3"
"Galette de céréales aux légumes (sans soja), préemballé",211,"5,31",28,"7,6"
"Boulette végétale au soja et/ou blé, préemballée",211,"17,6","7,98","10,6"
"Galette ou pavé aux lentilles, soja et légumes, préemballé",170,"10,6","16,7","5,6"
"Galette ou pavé au blé (seitan) et légumes, préemballé",208,"13,4","20,8","7,1"
"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",215,"17,5","8,15",11
"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",201,"11,1","13,3","10,2"
"Galette ou pavé au soja et fromage, préemballé",204,"16,8","6,08",12
"Galette ou pavé au soja et légumes, préemballé",175,"14,4","8,36","8,1"
"Galette ou pavé au soja, fromage et légumes, préemballé",180,"15,1","7,72","9,1"
"Haché végétal à base de soja, préemballé",143,"12,6","7,01","5,8"
"Pizza au fromage ou Pizza margherita, préemballée",227,"9,09","29,6","7,64"
"Quiche lorraine, préemballée",274,"8,96",21,"16,8"
"Crêpe ou Galette fourrée béchamel jambon, préemballée",136,"5,75","18,7",4
"Crêpe ou Galette fourrée béchamel jambon fromage, préemballée",182,"8,83","19,1","7,5"
"Crêpe ou Galette fourrée béchamel champignon, préemballée",150,"4,83","20,7","5,02"
"Tarte aux légumes, préemballée",216,5,"21,8","11,7"
"Pizza jambon fromage, préemballée",218,"10,3",28,"6,69"
"Tarte au fromage, préemballée",289,"10,3","20,7",18
"Tarte à la provençale, préemballée",241,"5,5",20,"14,3"
"Pizza à la viande, type bolognaise, préemballée",227,"10,3","27,2","8,03"
Burritos,170,8,"14,3","8,5"
Fajitas,158,"12,7",16,"4,5"
"Pizza au chorizo ou salami, préemballée",248,"10,4","26,5","10,7"
"Pizza aux fruits de mer, préemballée",200,"10,3","24,6","6,65"
"Pizza au saumon, préemballée",231,"10,1","26,7","8,78"
"Pizza au chèvre et lardons, préemballée",245,"10,7","26,9","9,96"
"Pizza aux légumes ou Pizza 4 saisons, préemballée",214,"8,48","25,7",8
"Pizza champignons fromage, préemballée",217,"7,8","31,6","6,1"
"Pizza 4 fromages, préemballée",267,"13,1","28,2","10,5"
Pizza (aliment moyen),233,"10,8","27,3","8,39"
"Pissaladière, préemballée",284,"6,4","33,8","13,1"
"Tarte à l'oignon, préemballée",280,7,"23,5","17,2"
"Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",205,"9,54","25,7","6,66"
"Crêpe ou Galette fourrée béchamel fromage, préemballée",149,"6,02","17,7","5,75"
"Flammenkueche ou Tarte flambée aux lardons, préemballée",300,"8,81","31,8","14,8"
"Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée",159,"8,3","16,6","6,3"
"Tarte ou Tourte aux poireaux, préemballée",243,"5,76","21,6","14,3"
"Tarte au saumon, préemballée",215,"8,53",21,"10,5"
"Tourte au riesling, préemballée",251,"10,2","23,7","12,6"
"Tarte à la tomate, préemballée",218,"5,17","19,3","12,8"
"Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",209,"12,7","15,2","9,8"
"Tarte aux noix de Saint-Jacques, préemballée",266,"8,25","24,2","14,5"
"Pastilla au poulet, préemballée",218,"12,3","14,1","12,2"
"Pizza aux lardons, oignons et fromage, préemballée",255,"11,2","27,7","10,6"
"Crêpe ou Galette aux noix de St Jacques, préemballée",168,"7,7","15,8",8
Tarte ou quiche salée (aliment moyen),267,"8,11","22,7","15,6"
"Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée",172,"5,5","18,5","7,7"
"Tarte au maroilles ou Flamiche au maroilles, préemballée",315,"14,1","22,1","18,3"
"Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",206,"8,5","14,3","12,4"
"Ficelle picarde, préemballée",151,"8,6","11,9","7,5"
"Tarte épinard chèvre, préemballée",244,"7,08","22,2","13,6"
"Tielle sétoise, préemballée",306,"8,15","30,9",16
"Pizza au thon, préemballée",220,"10,8","23,3","8,78"
"Pizza kebab, préemballée",211,"9,4","26,6","7,01"
"Pizza au poulet, préemballée",215,"9,95","27,5","6,68"
"Pizza type raclette ou tartiflette, préemballée",276,"11,8","27,5","12,7"
"Pizza au speck ou jambon cru, préemballée",240,"12,2","25,7","9,43"
"Focaccia, garnie",233,8,"29,5","8,75"
"Fougasse, garnie",306,"9,53","38,8","11,8"
"Croque-monsieur, fait maison",-,"14,3",-,"18,4"
"Hot-dog, préemballé",278,"10,9","26,3","13,8"
"Hamburger, provenant de fast food",246,"13,3","28,3","8,44"
"Cheeseburger, provenant de fast food",268,14,"23,1","12,9"
"Double cheeseburger, provenant de fast food",299,"15,5","21,5","16,7"
"Burger au poisson, provenant de fast food",263,"12,2","26,7","11,5"
"Sandwich grec ou Kebab, pita, crudités",233,"15,2","17,4","10,9"
"Sandwich grec ou Kebab, baguette, crudités",246,15,"23,6","9,8"
"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise",274,"10,3",32,"11,3"
"Sandwich panini, jambon cru, mozzarella, tomates",243,"14,2","27,2","8,35"
"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre",222,"10,1","30,9","5,98"
"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise",247,10,"36,3","6,35"
"Sandwich baguette, jambon emmental, préemballé",285,"13,3","26,9","13,1"
"Sandwich baguette, saumon fumé, beurre",265,"11,5","40,8","5,6"
"Sandwich baguette, thon, maïs, crudités, préemballé",198,"8,87",25,"6,03"
Burger au poulet,249,"12,7","23,8",11
Pan bagnat,215,"7,95","30,3","6,48"
"Sandwich baguette, jambon, beurre",285,"9,93","33,7","11,5"
"Sandwich baguette, camembert, beurre",339,"11,9","34,3","16,7"
"Sandwich baguette, pâté, cornichons",298,"10,1","32,1","13,9"
"Sandwich baguette, saucisson, beurre",383,"13,7",32,"21,6"
"Sandwich baguette, jambon, emmental, beurre",286,"12,2","32,7","10,9"
Sandwich (aliment moyen),243,"14,2","27,2","8,35"
"Toasts ou Canapés salés, garnitures diverses, préemballés",233,"9,09","17,8","13,3"
"Sandwich baguette, crudités diverses, mayonnaise",221,"6,54",30,"7,9"
"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise",255,"12,4","30,6","8,82"
"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise",247,"8,52","30,9","9,47"
"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise",267,12,"30,1","10,6"
"Sandwich baguette, merguez, ketchup moutarde",282,"13,1",31,"11,4"
"Sandwich baguette, salami, beurre",379,"12,5","33,2","21,4"
Croque-madame,264,"13,7","16,9","15,5"
Sandwich baguette (aliment moyen),277,"11,2","31,4","11,6"
"Sandwich pain de mie, garnitures diverses, préemballé",267,"11,7","25,1","12,4"
"Croque-monsieur, préemballé",273,"11,3","26,8","12,9"
"Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé",243,10,"23,1","11,6"
"Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé",240,"9,82","23,1","11,3"
"Sandwich pain de mie complet, jambon, fromage, préemballé",292,"12,9","26,1","14,6"
"Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé",232,"9,18","23,7","10,4"
"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé",321,"11,6","25,6","18,4"
"Samossa ou Samoussa, préemballé, cuit",230,"9,33","16,5","13,7"
Feuilleté au poisson et / ou fruits de mer,255,"6,55","26,5",13
"Spécialité chinoise type bouchée à la vapeur, préemballée, cuite",149,"5,9",28,"1,4"
"Feuilleté aux escargots, préemballé",321,"6,69","23,1","22,1"
Feuilleté ou Friand au fromage,302,"8,25","28,1","17,1"
"Feuilleté ou Friand à la viande, préemballé",348,"9,59","25,9","22,6"
"Bouchée à la reine, à la viande/volaille/quenelle",292,"6,12","23,5","18,9"
Croissant au jambon,243,"7,9","19,2","14,6"
Rouleau de printemps,103,"4,57","16,6","1,82"
Nem ou Pâté impérial,216,"6,48","21,1","11,2"
"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit",187,"12,2","8,48","11,5"
"Bouchée à la reine, au poisson et fruits de mer",206,"6,72","13,4","13,8"
Feuilleté ou Friand jambon fromage,290,"8,46","25,7","16,7"
"Beignet de viande, volaille ou poisson, fait maison, cru",238,"18,7",10,"13,5"
"Brick à l'oeuf, fait maison, cuit",255,"10,4","12,3","18,1"
Brick au boeuf,342,"10,4","33,5",17
"Brick à la pomme de terre, fait maison, cuit",215,"3,25","19,6","13,4"
Feuilleté salé (aliment moyen),301,"8,39","26,1","17,8"
"Bouchée à la reine, garnie (aliment moyen)",249,"6,42","18,4","16,3"
"Nem ou Pâté impérial, au poulet, préemballé, cuit",197,"8,06","20,9","8,1"
"Nem ou Pâté impérial, au porc, préemballé, cuit",237,"6,88","22,6","12,7"
"Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit",213,"7,44","23,7","9,2"
"Croissant au jambon fromage, préemballé",258,"8,92",22,"14,5"
"Avocat, pulpe, cru",205,"1,56","0,83","20,6"
"Bette ou blette, crue","16,4",1,"1,63","< 0,5"
"Carotte, crue","40,2","0,63","7,59","< 0,5"
"Champignon, tout type, cru","21,7","2,37","1,88","0,23"
"Salade ou chicorée frisée, crue",-,"1,48","2,4","0,25"
"Chou rouge, cru",30,"1,13","4,33","< 0,5"
"Chou-fleur, cru","26,2","1,81","2,13","0,7"
"Concombre, pulpe et peau, cru","15,6","0,64","2,54","0,11"
"Courgette, pulpe et peau, crue","16,5","1,23","1,8","0,26"
"Cresson de fontaine, cru",-,"2,09","0,9","0,15"
"Céleri branche, cru","17,6","0,63","2,41","< 0,5"
"Endive, crue","20,2","1,19","2,83","< 0,5"
"Fenouil, cru","21,8",1,"2,63","< 0,5"
"Laitue, crue",-,"1,3","1,33","0,2"
"Oignon, cru",-,"1,1","6,25","0,62"
"Pissenlit, cru",-,"2,91","6,1","0,85"
"Poireau, cru","32,3","1,49","4,9","0,25"
"Poivron, vert, jaune ou rouge, cru",-,"0,8","4,55","0,27"
"Potiron, cru",-,1,"3,5","0,1"
"Radis rouge, cru","14,5","0,94","1,53","< 0,5"
"Tomate, crue","19,3","0,86","2,49","0,26"
"Artichaut, cru",-,"3,2","4,92","0,18"
"Aubergine, crue",-,"1,12","2,39","0,14"
"Cardon, cru",-,"0,7","1,7","0,1"
"Céleri-rave, cru","29,3","1,38","3,98","< 0,5"
"Champignon de Paris ou champignon de couche, cru",28,"2,62","3,15","0,36"
"Brocoli, cru",-,"3,95","1,7","0,48"
"Chou de Bruxelles, cru",-,"3,98","5,67","0,4"
"Épinard, cru",-,"2,62","2,25","0,5"
"Haricot vert, cru",-,"1,85","4,14","0,21"
"Navet, pelé, cru",-,"0,76","4,7","0,1"
"Chou-rave, cru",-,"1,79","2,35","0,1"
"Chou vert, cru",-,"2,53","1,92","0,41"
"Haricot vert, surgelé, cru",34,"1,97","4,35","0,17"
"Petits pois, crus",-,"5,84",7,"0,55"
"Asperge, pelée, crue",-,"2,04","2,4","0,21"
"Chou-fleur, surgelé, cru",-,"2,09","2,64","0,37"
"Épinard, surgelé, cru",-,"2,87","0,89","0,49"
"Petits pois, surgelés, crus",-,"5,86","8,77","0,44"
"Poivron vert, cru",26,"0,81","3,43","< 0,5"
